iter	Passed	Remaining
0	118	118200
1	119	59406
2	119	39752
3	120	29920
4	120	24019
5	121	20085
6	121	17284
7	122	15179
8	122	13538
9	123	12227
10	124	11151
11	124	10265
12	125	9517
13	125	8869
14	126	8305
15	127	7814
16	127	7379
17	128	6993
18	128	6646
19	129	6334
20	129	6054
21	130	5798
22	130	5563
23	131	5348
24	132	5151
25	132	4969
26	133	4801
27	133	4644
28	134	4500
29	134	4364
30	135	4237
31	136	4117
32	136	4006
33	137	3901
34	138	3805
35	138	3711
36	139	3624
37	139	3540
38	140	3459
39	140	3382
40	141	3309
41	142	3240
42	142	3173
43	143	3110
44	143	3049
45	144	2991
46	144	2935
47	145	2882
48	145	2831
49	146	2783
50	147	2736
51	147	2690
52	148	2647
53	148	2604
54	149	2564
55	149	2525
56	150	2487
57	150	2451
58	151	2417
59	152	2383
60	152	2352
61	153	2320
62	153	2288
63	154	2258
64	154	2229
65	155	2200
66	156	2173
67	156	2142
68	156	2116
69	157	2091
70	157	2066
71	158	2044
72	159	2021
73	159	1998
74	160	1976
75	160	1954
76	161	1933
77	161	1913
78	162	1893
79	163	1874
80	163	1855
81	164	1836
82	164	1818
83	165	1800
84	165	1781
85	166	1764
86	166	1746
87	166	1730
88	167	1716
89	168	1701
90	168	1686
91	169	1672
92	169	1657
93	170	1643
94	171	1629
95	171	1615
96	172	1602
97	172	1589
98	173	1576
99	173	1563
100	174	1551
101	174	1537
102	175	1525
103	175	1513
104	176	1502
105	176	1490
106	177	1479
107	177	1468
108	178	1458
109	178	1447
110	179	1436
111	179	1426
112	180	1416
113	180	1406
114	181	1396
115	181	1386
116	182	1377
117	183	1368
118	183	1359
119	184	1350
120	184	1341
121	185	1332
122	185	1322
123	186	1314
124	186	1305
125	187	1297
126	187	1289
127	187	1280
128	188	1272
129	189	1265
130	189	1257
131	190	1250
132	190	1242
133	191	1235
134	191	1228
135	192	1220
136	192	1213
137	193	1206
138	193	1199
139	194	1193
140	194	1186
141	195	1180
142	195	1173
143	196	1167
144	196	1161
145	197	1155
146	198	1149
147	198	1143
148	199	1137
149	199	1131
150	200	1125
151	200	1120
152	201	1114
153	201	1108
154	202	1103
155	202	1097
156	203	1092
157	203	1086
158	204	1081
159	204	1076
160	205	1070
161	206	1065
162	206	1060
163	207	1055
164	207	1050
165	208	1045
166	208	1040
167	209	1036
168	209	1031
169	210	1026
170	210	1021
171	211	1017
172	211	1012
173	212	1008
174	213	1004
175	213	1000
176	214	995
177	214	991
178	215	987
179	215	982
180	216	977
181	216	973
182	217	969
183	217	965
184	218	961
185	218	957
186	219	953
187	219	949
188	220	945
189	220	941
190	221	937
191	221	933
192	222	929
193	222	926
194	223	922
195	223	918
196	224	915
197	225	911
198	225	907
199	226	904
200	226	900
201	227	897
202	227	894
203	228	890
204	228	887
205	229	884
206	229	880
207	230	877
208	231	874
209	231	871
210	232	868
211	232	864
212	233	861
213	233	858
214	234	855
215	234	852
216	235	849
217	235	846
218	236	843
219	236	840
220	237	837
221	237	833
222	238	831
223	239	828
224	239	825
225	240	822
226	240	819
227	241	816
228	241	813
229	242	810
230	242	808
231	243	805
232	243	803
233	244	800
234	245	797
235	245	794
236	246	792
237	246	789
238	247	786
239	247	784
240	248	781
241	248	779
242	249	776
243	249	773
244	250	771
245	250	768
246	251	766
247	251	763
248	252	761
249	252	758
250	253	756
251	253	753
252	254	751
253	255	749
254	255	746
255	256	744
256	256	741
257	257	739
258	257	737
259	258	735
260	259	733
261	259	731
262	260	729
263	260	727
264	261	725
265	262	723
266	262	721
267	263	719
268	263	716
269	264	714
270	264	712
271	265	710
272	265	708
273	266	705
274	266	703
275	267	701
276	268	699
277	268	697
278	269	695
279	269	693
280	270	691
281	270	689
282	271	687
283	271	685
284	272	683
285	272	681
286	273	679
287	273	677
288	274	675
289	275	673
290	275	671
291	276	669
292	276	667
293	277	665
294	277	663
295	278	661
296	278	659
297	279	657
298	279	656
299	280	654
300	280	652
301	281	650
302	281	648
303	282	646
304	283	644
305	283	643
306	284	641
307	284	639
308	285	637
309	285	635
310	286	634
311	286	632
312	287	630
313	287	628
314	288	627
315	288	625
316	289	623
317	289	621
318	290	620
319	291	618
320	291	616
321	292	614
322	292	613
323	293	611
324	293	609
325	294	608
326	294	606
327	295	605
328	295	603
329	296	601
330	296	600
331	297	598
332	297	596
333	298	595
334	299	593
335	299	592
336	300	590
337	300	588
338	301	587
339	301	585
340	302	584
341	302	582
342	303	581
343	304	579
344	304	578
345	305	576
346	305	575
347	306	573
348	306	571
349	307	570
350	307	568
351	308	567
352	308	565
353	309	564
354	309	562
355	310	561
356	310	559
357	311	558
358	311	556
359	312	555
360	312	553
361	313	552
362	313	550
363	314	549
364	315	548
365	315	546
366	316	545
367	316	543
368	317	542
369	317	541
370	318	539
371	318	538
372	319	537
373	320	535
374	320	534
375	321	532
376	321	531
377	322	530
378	322	528
379	323	527
380	323	525
381	324	524
382	324	523
383	325	521
384	325	520
385	326	519
386	327	517
387	327	516
388	328	515
389	328	514
390	329	512
391	329	511
392	330	510
393	331	509
394	331	507
395	332	506
396	332	505
397	333	504
398	333	502
399	334	501
400	335	500
401	335	499
402	336	498
403	336	496
404	337	495
405	337	494
406	338	493
407	338	491
408	339	490
409	340	489
410	340	488
411	341	486
412	341	485
413	342	484
414	343	483
415	343	482
416	344	481
417	344	480
418	345	478
419	345	477
420	346	476
421	347	475
422	347	474
423	348	473
424	348	472
425	349	470
426	350	469
427	350	468
428	351	467
429	351	466
430	352	465
431	352	463
432	353	462
433	353	461
434	354	460
435	355	459
436	355	458
437	356	456
438	356	455
439	357	454
440	357	453
441	358	452
442	358	451
443	359	450
444	359	448
445	360	447
446	361	446
447	361	445
448	362	444
449	362	443
450	363	442
451	364	441
452	364	440
453	365	439
454	365	438
455	366	436
456	366	435
457	367	434
458	367	433
459	368	432
460	368	431
461	369	430
462	370	429
463	370	428
464	371	426
465	371	425
466	372	424
467	372	423
468	373	422
469	373	421
470	374	420
471	374	419
472	375	418
473	376	417
474	376	416
475	377	415
476	377	414
477	378	413
478	378	412
479	379	411
480	379	409
481	380	408
482	381	407
483	381	406
484	382	405
485	382	404
486	383	403
487	383	402
488	384	401
489	385	400
490	385	399
491	386	398
492	386	397
493	387	396
494	387	395
495	388	394
496	388	393
497	389	392
498	389	391
499	390	390
500	391	389
501	391	388
502	392	387
503	392	386
504	393	385
505	394	385
506	394	384
507	395	383
508	396	382
509	396	381
510	397	380
511	397	379
512	398	378
513	398	377
514	399	376
515	400	375
516	400	374
517	401	373
518	401	372
519	402	371
520	402	370
521	403	369
522	403	368
523	404	367
524	404	366
525	405	365
526	406	364
527	406	363
528	407	362
529	407	361
530	408	360
531	408	359
532	409	358
533	409	357
534	410	356
535	411	355
536	411	354
537	412	353
538	412	352
539	413	351
540	413	350
541	414	349
542	414	348
543	415	348
544	415	347
545	416	346
546	416	345
547	417	344
548	417	343
549	418	342
550	418	341
551	419	340
552	420	339
553	420	338
554	421	337
555	421	336
556	422	335
557	422	334
558	423	333
559	423	333
560	424	332
561	424	331
562	425	330
563	426	329
564	426	328
565	427	327
566	427	326
567	428	325
568	428	324
569	429	323
570	429	322
571	430	321
572	430	321
573	431	320
574	431	319
575	432	318
576	432	317
577	433	316
578	433	315
579	434	314
580	435	313
581	435	312
582	436	312
583	436	311
584	437	310
585	438	309
586	438	308
587	439	307
588	440	307
589	440	306
590	441	305
591	442	304
592	442	303
593	443	303
594	444	302
595	444	301
596	445	300
597	445	299
598	446	298
599	446	297
600	447	297
601	448	296
602	448	295
603	449	294
604	449	293
605	450	292
606	450	291
607	451	291
608	451	290
609	452	289
610	453	288
611	454	287
612	454	287
613	455	286
614	455	285
615	456	284
616	457	283
617	457	282
618	458	282
619	459	281
620	459	280
621	460	279
622	461	278
623	461	278
624	462	277
625	462	276
626	463	275
627	464	274
628	464	274
629	465	273
630	466	272
631	466	271
632	467	271
633	468	270
634	469	269
635	470	269
636	470	268
637	471	267
638	472	266
639	472	266
640	473	265
641	474	264
642	474	263
643	475	262
644	476	262
645	476	261
646	477	260
647	477	259
648	478	258
649	478	257
650	479	257
651	480	256
652	480	255
653	481	254
654	481	253
655	482	252
656	483	252
657	484	251
658	484	250
659	485	250
660	485	249
661	486	248
662	487	247
663	487	246
664	488	245
665	488	245
666	489	244
667	489	243
668	490	242
669	491	241
670	491	241
671	492	240
672	492	239
673	493	238
674	493	237
675	494	237
676	495	236
677	495	235
678	496	234
679	496	233
680	497	232
681	498	232
682	498	231
683	499	230
684	499	229
685	500	228
686	500	228
687	501	227
688	501	226
689	502	225
690	502	224
691	503	224
692	504	223
693	504	222
694	505	221
695	505	220
696	506	220
697	506	219
698	507	218
699	507	217
700	508	216
